# f[Hz], H(x1/x0), H(xpl/x0)
0.000000000000000000e+00 9.999999999999987788e-01 9.999999999999993339e-01
3.051757812500000000e-03 1.000310385092995524e+00 1.000792670754025782e+00
6.103515625000000000e-03 1.001243326028376401e+00 1.003176613587322130e+00
9.155273437500000000e-03 1.002804194688850181e+00 1.007169710848712985e+00
1.220703125000000000e-02 1.005001993470935551e+00 1.012802070213711714e+00
1.525878906250000000e-02 1.007849427493674010e+00 1.020116486038869841e+00
1.831054687500000000e-02 1.011363001982235499e+00 1.029169096526465710e+00
2.136230468750000000e-02 1.015563140250725693e+00 1.040030247535473684e+00
2.441406250000000000e-02 1.020474315021138834e+00 1.052785576169120718e+00
2.746582031250000000e-02 1.026125181826633481e+00 1.067537328603713087e+00
3.051757812500000000e-02 1.032548697317780206e+00 1.084405926290109790e+00
3.356933593750000000e-02 1.039782196497683442e+00 1.103531791510652393e+00
3.662109375000000000e-02 1.047867389904629354e+00 1.125077435459944430e+00
3.967285156250000000e-02 1.056850222558612939e+00 1.149229796588883357e+00
4.272460937500000000e-02 1.066780508184224985e+00 1.176202789236684421e+00
4.577636718750000000e-02 1.077711210559652022e+00 1.206239975219798533e+00
4.882812500000000000e-02 1.089697182615626092e+00 1.239617192527326717e+00
5.187988281250000000e-02 1.102793084163104398e+00 1.276644847660063142e+00
5.493164062500000000e-02 1.117050068154219922e+00 1.317669373802185628e+00
5.798339843750000000e-02 1.132510635638832586e+00 1.363073033889416363e+00
6.103515625000000000e-02 1.149200788066001566e+00 1.413270743193136170e+00
6.408691406250000000e-02 1.167118224899909462e+00 1.468701810516482853e+00
6.713867187500000000e-02 1.186214818789578462e+00 1.529813329597358385e+00
7.019042968750000000e-02 1.206370942870526708e+00 1.597030249258196033e+00
7.324218750000000000e-02 1.227358480143947661e+00 1.670704790396370099e+00
7.629394531250000000e-02 1.248788723405288570e+00 1.751034891941584126e+00
7.934570312500000000e-02 1.270041423678500703e+00 1.837938261171398135e+00
8.239746093750000000e-02 1.290173159473677167e+00 1.930867016906968825e+00
8.544921875000000000e-02 1.307809211625608370e+00 2.028551769341225164e+00
8.850097656250000000e-02 1.321036642003018846e+00 2.128680867627695594e+00
9.155273437500000000e-02 1.327340615676225299e+00 2.227561710038473919e+00
9.460449218750000000e-02 1.323659555774027830e+00 2.319885221698335442e+00
9.765625000000000000e-02 1.306660599694312586e+00 2.398808446356705648e+00
1.007080078125000000e-01 1.273313039212583764e+00 2.456615826926807689e+00
1.037597656250000000e-01 1.221712319618810882e+00 2.486089275795588804e+00
1.068115234375000000e-01 1.151890275716902057e+00 2.482327848027845896e+00
1.098632812500000000e-01 1.066190855668019299e+00 2.444285498247829924e+00
1.129150390625000000e-01 9.689134459921987519e-01 2.375199289176267659e+00
1.159667968750000000e-01 8.653316466608655944e-01 2.281633932135961995e+00
1.190185546875000000e-01 7.605553462451041247e-01 2.171674372575894463e+00
1.220703125000000000e-01 6.587070116945228371e-01 2.053153115601944911e+00
1.251220703125000000e-01 5.625962256647474291e-01 1.932516251598721979e+00
1.281738281250000000e-01 4.737957927053935703e-01 1.814424128681313864e+00
1.312255859375000000e-01 3.929182570317836243e-01 1.701863194245553990e+00
1.342773437500000000e-01 3.199286337731030438e-01 1.596490991786550628e+00
1.373291015625000000e-01 2.544080169165560679e-01 1.499019813564220316e+00
1.403808593750000000e-01 1.957437176356981445e-01 1.409544734475637995e+00
1.434326171875000000e-01 1.432527361966795809e-01 1.327789227276782391e+00
1.464843750000000000e-01 9.625580589884452642e-02 1.253274379009853057e+00
1.495361328125000000e-01 5.412215990326818549e-02 1.185428595812774155e+00
1.525878906250000000e-01 1.636616183862292170e-02 1.123655068834481519e+00
1.556396484375000000e-01 1.814843325103278684e-02 1.067370968981274260e+00
1.586914062500000000e-01 4.888451732043967018e-02 1.016028501653866156e+00
1.617431640625000000e-01 7.680697808013337013e-02 9.691247275814679485e-01
1.647949218750000000e-01 1.021843393100430736e-01 9.262046727359067866e-01
1.678466796875000000e-01 1.253039638553632706e-01 8.868606051269284363e-01
1.708984375000000000e-01 1.464194652805494989e-01 8.507292660147646179e-01
1.739501953125000000e-01 1.657513669570866988e-01 8.174881397501511104e-01
1.770019531250000000e-01 1.834910022286112274e-01 7.868514015465150058e-01
1.800537109375000000e-01 1.998044717349460597e-01 7.585659056021311075e-01
1.831054687500000000e-01 2.148361875442884039e-01 7.324074064026544484e-01
1.861572265625000000e-01 2.287119434391899908e-01 7.081771040778186421e-01
1.892089843750000000e-01 2.415415416280176364e-01 6.856985448932176874e-01
1.922607421875000000e-01 2.534210279700835899e-01 6.648148741710599996e-01
1.953125000000000000e-01 2.644345900326063314e-01 6.453864209891920778e-01
1.983642578125000000e-01 2.746561682334351939e-01 6.272885855563238300e-01
2.014160156250000000e-01 2.841508243734005568e-01 6.104099972675200991e-01
2.044677734375000000e-01 2.929759056887072388e-01 5.946509116855606125e-01
2.075195312500000000e-01 3.011820368066488451e-01 5.799218165981085971e-01
2.105712890625000000e-01 3.088139668967102014e-01 5.661422199857023552e-01
2.136230468750000000e-01 3.159112949183995322e-01 5.532395956851983154e-01
2.166748046875000000e-01 3.225090921395863397e-01 5.411484654562169760e-01
2.197265625000000000e-01 3.286384379650906240e-01 5.298095989011607498e-01
2.227783203125000000e-01 3.343268824955901164e-01 5.191693151794082306e-01
2.258300781250000000e-01 3.395988470549331506e-01 5.091788726708850188e-01
2.288818359375000000e-01 3.444759721096617433e-01 4.997939346853721987e-01
2.319335937500000000e-01 3.489774204970257365e-01 4.909741010000049921e-01
2.349853515625000000e-01 3.531201426247123076e-01 4.826824964619766400e-01
2.380371093750000000e-01 3.569191092629661610e-01 4.748854091431827795e-01
2.410888671875000000e-01 3.603875166810166508e-01 4.675519716037551676e-01
2.441406250000000000e-01 3.635369681543001441e-01 4.606538797368044391e-01
2.471923828125000000e-01 3.663776352616561760e-01 4.541651444484311462e-01
2.502441406250000000e-01 3.689184018817730504e-01 4.480618720948481570e-01
2.532958984375000000e-01 3.711669933684748068e-01 4.423220701687969880e-01
2.563476562500000000e-01 3.731300930209603406e-01 4.369254752148833409e-01
2.593994140625000000e-01 3.748134476561633677e-01 4.318534003704154745e-01
2.624511718750000000e-01 3.762219638264602817e-01 4.270886002853530039e-01
2.655029296875000000e-01 3.773597959991311646e-01 4.226151514810099208e-01
2.685546875000000000e-01 3.782304278177483492e-01 4.184183464698731370e-01
2.716064453125000000e-01 3.788367473947455433e-01 4.144846001847836692e-01
2.746582031250000000e-01 3.791811174343486246e-01 4.108013674601899146e-01
2.777099609375000000e-01 3.792654408522644904e-01 4.073570704759359451e-01
2.807617187500000000e-01 3.790912224401050690e-01 4.041410352190703548e-01
2.838134765625000000e-01 3.786596270160895172e-01 4.011434361448213415e-01
2.868652343750000000e-01 3.779715344072532845e-01 3.983552483271098343e-01
2.899169921875000000e-01 3.770275915207139117e-01 3.957682064843046632e-01
2.929687500000000000e-01 3.758282616813978794e-01 3.933747703495706904e-01
2.960205078125000000e-01 3.743738713402187668e-01 3.911680959291118920e-01
2.990722656250000000e-01 3.726646541893190445e-01 3.891420122574853480e-01
3.021240234375000000e-01 3.707007926595373704e-01 3.872910033188143308e-01
3.051757812500000000e-01 3.684824567192693801e-01 3.856101948573542604e-01
3.082275390625000000e-01 3.660098398434368239e-01 3.840953458519855701e-01
3.112792968750000000e-01 3.632831919764628603e-01 3.827428444783093076e-01
3.143310546875000000e-01 3.603028492737541111e-01 3.815497084300079056e-01
3.173828125000000000e-01 3.570692603726594028e-01 3.805135895198504259e-01
3.204345703125000000e-01 3.535830089158547018e-01 3.796327825309497306e-01
3.234863281250000000e-01 3.498448320278296220e-01 3.789062383424680047e-01
3.265380859375000000e-01 3.458556344282257000e-01 3.783335814119487273e-01
3.295898437500000000e-01 3.416164978539813490e-01 3.779151317607040150e-01
3.326416015625000000e-01 3.371286854549027656e-01 3.776519316805562188e-01
3.356933593750000000e-01 3.323936408236664031e-01 3.775457774618086182e-01
3.387451171875000000e-01 3.274129813203334183e-01 3.775992565354488462e-01
3.417968750000000000e-01 3.221884853517681391e-01 3.778157905296730679e-01
3.448486328125000000e-01 3.167220732664408622e-01 3.781996848644916809e-01
3.479003906250000000e-01 3.110157815229578904e-01 3.787561856514745084e-01
3.509521484375000000e-01 3.050717297841811226e-01 3.794915448323196161e-01
3.540039062500000000e-01 2.988920805756758448e-01 3.804130946840732497e-01
3.570556640625000000e-01 2.924789911249235375e-01 3.815293330456671073e-01
3.601074218750000000e-01 2.858345569638517936e-01 3.828500208861152498e-01
3.631591796875000000e-01 2.789607468294583725e-01 3.843862941464871730e-01
3.662109375000000000e-01 2.718593283339703626e-01 3.861507921545808131e-01
3.692626953125000000e-01 2.645317837964886176e-01 3.881578053435322251e-01
3.723144531250000000e-01 2.569792155338110895e-01 3.904234455159659722e-01
3.753662109375000000e-01 2.492022398040488196e-01 3.929658424984712184e-01
3.784179687500000000e-01 2.412008684940311065e-01 3.958053717443669739e-01
3.814697265625000000e-01 2.329743775619169122e-01 3.989649182851660036e-01
3.845214843750000000e-01 2.245211612303726345e-01 4.024701834242649379e-01
3.875732421875000000e-01 2.158385710455254236e-01 4.063500417319197977e-01
3.906250000000000000e-01 2.069227393022612382e-01 4.106369572585517602e-01
3.936767578125000000e-01 1.977683872192031456e-01 4.153674694471978790e-01
3.967285156250000000e-01 1.883686200464508576e-01 4.205827609936628186e-01
3.997802734375000000e-01 1.787147147767779720e-01 4.263293218421123632e-01
4.028320312500000000e-01 1.687959127556039884e-01 4.326597255254834851e-01
4.058837890625000000e-01 1.585992420461370678e-01 4.396335359727329695e-01
4.089355468750000000e-01 1.481094184993149987e-01 4.473183643379009533e-01
4.119873046875000000e-01 1.373089217517161342e-01 4.557910956778600808e-01
4.150390625000000000e-01 1.261784382741621968e-01 4.651393032005935457e-01
4.180908203125000000e-01 1.146980669676125192e-01 4.754628611949195949e-01
4.211425781250000000e-01 1.028501392115027668e-01 4.868757529494754932e-01
4.241943359375000000e-01 9.062560437992570050e-02 4.995080406382279570e-01
4.272460937500000000e-01 7.803881781007013241e-02 5.135079094630047303e-01
4.302978515625000000e-01 6.516397388601934126e-02 5.290435998831242159e-01
4.333496093750000000e-01 5.223392486199713441e-02 5.463048684013332990e-01
4.364013671875000000e-01 3.994073445727207988e-02 5.655033170304725187e-01
4.394531250000000000e-01 3.037397516903311140e-02 5.868704185612455548e-01
4.425048828125000000e-01 2.841473303368780012e-02 6.106512023840934278e-01
4.455566406250000000e-01 3.707008248754965762e-02 6.370901478082403591e-01
4.486083984375000000e-01 5.273788200289371980e-02 6.664035822789985408e-01
4.516601562500000000e-01 7.229331525375069789e-02 6.987295302474467729e-01
4.547119140625000000e-01 9.458969467737192438e-02 7.340415536103952476e-01
4.577636718750000000e-01 1.192100963425805349e-01 7.720089501462433779e-01
4.608154296875000000e-01 1.458681813806405325e-01 8.117863947910177735e-01
4.638671875000000000e-01 1.741162285905567819e-01 8.517334990211794521e-01
4.669189453125000000e-01 2.031254967883796003e-01 8.891203363674343718e-01
4.699707031250000000e-01 2.315130326176549902e-01 9.199883516954218132e-01
4.730224609375000000e-01 2.573085798382259148e-01 9.394720827370957039e-01
4.760742187500000000e-01 2.782132589496940089e-01 9.428688518918455497e-01
4.791259765625000000e-01 2.922016982070210211e-01 9.273100990163967161e-01
4.821777343750000000e-01 2.982267334142665316e-01 8.931553223311666789e-01
4.852294921875000000e-01 2.965709977176426149e-01 8.440445705452631620e-01
4.882812500000000000e-01 2.886045514432827863e-01 7.854931733506782532e-01
4.913330078125000000e-01 2.761760280118317201e-01 7.230431292655721265e-01
4.943847656250000000e-01 2.610512741469873665e-01 6.610275369675271406e-01
4.974365234375000000e-01 2.446185349350538663e-01 6.022218730233031003e-01
5.004882812500000000e-01 2.278340764810166119e-01 5.480674031689255488e-01
5.035400390625000000e-01 2.112919594912653909e-01 4.990790050684857371e-01
5.065917968750000000e-01 1.953259437519358488e-01 4.552159879155756594e-01
5.096435546875000000e-01 1.800995312607488463e-01 4.161472317233567697e-01
5.126953125000000000e-01 1.656721048359774406e-01 3.814170246701784617e-01
5.157470703125000000e-01 1.520430515309639241e-01 3.505393097009071313e-01
5.187988281250000000e-01 1.391795297239044327e-01 3.230465262774057655e-01
5.218505859375000000e-01 1.270332441007455959e-01 2.985118516177455716e-01
5.249023437500000000e-01 1.155502355495836159e-01 2.765567918190002250e-01
5.279541015625000000e-01 1.046763881557796205e-01 2.568512076035601166e-01
5.310058593750000000e-01 9.436038337899436967e-02 2.391097793499441793e-01
5.340576171875000000e-01 8.455518150604943162e-02 2.230870835776112837e-01
5.371093750000000000e-01 7.521870344897060856e-02 2.085724047616250576e-01
5.401611328125000000e-01 6.631414961602732916e-02 1.953848242973940663e-01
5.432128906250000000e-01 5.781028304321510214e-02 1.833688144811102816e-01
5.462646484375000000e-01 4.968201740927510185e-02 1.723904020658816316e-01
5.493164062500000000e-01 4.191185681385684730e-02 1.623338856542639042e-01
5.523681640625000000e-01 3.449340146348277292e-02 1.530990556554231719e-01
5.554199218750000000e-01 2.744021318659927919e-02 1.445988534541010062e-01
5.584716796875000000e-01 2.081057982808035001e-02 1.367574060875472453e-01
5.615234375000000000e-01 1.478812661148172503e-02 1.295083777659155333e-01
5.645751953125000000e-01 9.984122128376722236e-03 1.227935866540546261e-01
5.676269531250000000e-01 8.191257662115461816e-03 1.165618427583383909e-01
5.706787109375000000e-01 1.062736316894511215e-02 1.107679697264644519e-01
5.737304687500000000e-01 1.516779241614059880e-02 1.053719795426807243e-01
5.767822265625000000e-01 2.029845159714941186e-02 1.003383744025291291e-01
5.798339843750000000e-01 2.555438450680314402e-02 9.563555451585697975e-02
5.828857421875000000e-01 3.078621653511345174e-02 9.123531430155103206e-02
5.859375000000000000e-01 3.593776914653817878e-02 8.711241250531469305e-02
5.889892578125000000e-01 4.098582876507311096e-02 8.324420429425745394e-02
5.920410156250000000e-01 4.592073532366234417e-02 7.961032545125105997e-02
5.950927734375000000e-01 5.073902732752740702e-02 7.619242048781707521e-02
5.981445312500000000e-01 5.544028436306225327e-02 7.297390788434601760e-02
6.011962890625000000e-01 6.002563745593920974e-02 6.993977680680436848e-02
6.042480468750000000e-01 6.449701457482825973e-02 6.707641058597901829e-02
6.072998046875000000e-01 6.885673783104656609e-02 6.437143301640625703e-02
6.103515625000000000e-01 7.310730028421671967e-02 6.181357416812789662e-02
6.134033203125000000e-01 7.725123939598813050e-02 5.939255293018157189e-02
6.164550781250000000e-01 8.129106471153262070e-02 5.709897394043435964e-02
6.195068359375000000e-01 8.522921698670635204e-02 5.492423691836572502e-02
6.225585937500000000e-01 8.906804601347304007e-02 5.286045671893142839e-02
6.256103515625000000e-01 9.280979976204861703e-02 5.090039267748811685e-02
6.286621093750000000e-01 9.645662044155968451e-02 4.903738602663938739e-02
6.317138671875000000e-01 1.000105447962065797e-01 4.726530434293659683e-02
6.347656250000000000e-01 1.034735069690276010e-01 4.557849213043558417e-02
6.378173828125000000e-01 1.068473428812078685e-01 4.397172677392185286e-02
6.408691406250000000e-01 1.101337954565843325e-01 4.244017920109229708e-02
6.439208984375000000e-01 1.133345202618498415e-01 4.097937868330256417e-02
6.469726562500000000e-01 1.164510912872534776e-01 3.958518128131357366e-02
6.500244140625000000e-01 1.194850066926300969e-01 3.825374150796762712e-02
6.530761718750000000e-01 1.224376944090208308e-01 3.698148683569824763e-02
6.561279296875000000e-01 1.253105175292335005e-01 3.576509472473374945e-02
6.591796875000000000e-01 1.281047794491091685e-01 3.460147188902275295e-02
6.622314453125000000e-01 1.308217287399988937e-01 3.348773555234520888e-02
6.652832031250000000e-01 1.334625637452261926e-01 3.242119647763056639e-02
6.683349609375000000e-01 1.360284369012392802e-01 3.139934357891516203e-02
6.713867187500000000e-01 1.385204587891717132e-01 3.041982994825237485e-02
6.744384765625000000e-01 1.409397019255810291e-01 2.948046014974037288e-02
